TRAVEL_ID,TRIP_ID,START_VISIT_AREA_ID,END_VISIT_AREA_ID,START_DT_MIN,END_DT_MIN,MVMN_CD_1,MVMN_CD_2
e_e000317,2305290002,,2305290002,,2023-05-29 10:30,15,
e_e000317,2305290003,,2305290003,,2023-05-29 11:00,15,
e_e000317,2305290004,,2305290004,,2023-05-29 12:00,15,
e_e000317,2305290005,,2305290005,,2023-05-29 13:00,15,
e_e000317,2305290006,,2305290006,,2023-05-29 13:30,15,
e_e000317,2305290007,,2305290007,,2023-05-29 14:00,5,
e_e000317,2305290008,,2305290008,,2023-05-29 14:30,15,
e_e000319,2305310001,2305310001,,2023-05-31 21:00,,,
e_e000319,2305310002,,2305310002,,2023-05-31 21:00,15,
e_e000319,2305310003,,2305310003,,2023-05-31 21:30,15,
e_e000319,2305310004,,2305310004,,2023-05-31 22:00,15,
e_e000319,2305310005,,2305310005,,2023-05-31 22:30,15,
e_e000319,2306010001,,2306010001,,2023-06-01 08:00,15,
e_e000319,2306010002,,2306010002,,2023-06-01 09:00,15,
e_e000319,2306010003,,2306010003,,2023-06-01 12:30,15,
e_e000319,2306010004,,2306010004,,2023-06-01 16:30,15,
e_e000319,2306010005,,2306010005,,2023-06-01 17:30,15,
e_e000319,2306010006,,2306010006,,2023-06-01 18:30,5,
e_e000319,2306010007,,2306010007,,2023-06-01 18:30,15,
e_e000319,2306010008,,2306010008,,2023-06-01 19:30,15,
e_e000319,2306010009,,2306010009,,2023-06-01 21:00,15,
e_e000319,2306010010,,2306010010,,2023-06-01 22:00,5,
e_e000319,2306010011,,2306010011,,2023-06-01 22:00,15,
e_e000319,2306010012,,2306010012,,2023-06-01 22:30,15,
e_e000319,2306010013,,2306010013,,2023-06-01 22:30,15,
e_e000319,2306020001,,2306020001,,2023-06-02 07:30,15,
e_e000319,2306020002,,2306020002,,2023-06-02 09:30,15,
e_e000319,2306020003,,2306020003,,2023-06-02 16:00,15,
e_e000319,2306020004,,2306020004,,2023-06-02 18:30,13,15
e_e000322,2306050001,2306050001,,2023-06-05 16:00,,,
e_e000322,2306050002,,2306050002,,2023-06-05 16:30,15,
e_e000322,2306050003,,2306050003,,2023-06-05 17:00,5,15
e_e000322,2306050004,,2306050004,,2023-06-05 17:30,15,
e_e000322,2306050005,,2306050005,,2023-06-05 19:00,15,
e_e000322,2306050006,,2306050006,,2023-06-05 19:30,15,
e_e000322,2306050007,,2306050007,,2023-06-05 20:00,15,
e_e000322,2306060001,,2306060001,,2023-06-06 10:00,15,
e_e000322,2306060002,,2306060002,,2023-06-06 11:30,15,
e_e000322,2306060003,,2306060003,,2023-06-06 12:00,15,
e_e000322,2306060004,,2306060004,,2023-06-06 12:30,15,
e_e000322,2306060005,,2306060005,,2023-06-06 14:30,15,
e_e000322,2306060006,,2306060006,,2023-06-06 15:00,15,
e_e000322,2306060007,,2306060007,,2023-06-06 16:00,5,
e_e000322,2306060008,,2306060008,,2023-06-06 17:00,15,
e_e000322,2306070001,,2306070001,,2023-06-07 07:00,15,
e_e000322,2306070002,,2306070002,,2023-06-07 09:30,15,
e_e000322,2306070003,,2306070003,,2023-06-07 16:30,15,
e_e000322,2306070004,,2306070004,,2023-06-07 20:00,15,
e_e000323,2305270001,2305270001,,2023-05-27 11:00,,,
e_e000323,2305270002,,2305270002,,2023-05-27 13:00,5,13
e_e000323,2305270003,,2305270003,,2023-05-27 14:30,15,15
e_e000323,2305270004,,2305270004,,2023-05-27 15:00,15,15
e_e000323,2305270005,,2305270005,,2023-05-27 16:30,13,15
