TRAVEL_ID,ADV_NM,ADV_SEQ,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC,SGG_CD,활동소비내역중복여부,숙박소비내역중복여부
e_e002266,양고기,1,2,2628101886,퍼블릭플레이스 주식회사,서울 용산구 새창로 213-12,서울 용산구 한강로2가 2-36,3005018,1117012500,6/2/23 13:16,1,38800,3개월미만 프렌치랙-양갈비 양고기 밀키트 ,,0,0
e_e002266,양고기,3,2,2628101886,퍼블릭플레이스 주식회사,서울 용산구 새창로 213-12,서울 용산구 한강로2가 2-36,3005018,1117012500,6/2/23 13:16,1,23900,양꼬치-양갈비 양고기 밀키트 캠핑 쉽새끼 샤슬릭 구이 안주,,0,0
e_e002272,고기 등 음식류,0,6,,OK마트 양수리점,양수로 151,,,,,3,27080,,4183033000,0,0
e_e002283,콘서트 티켓,1,1,2298137000,예스이십사(주),서울 영등포구 은행로 11,서울 영등포구 여의도동 15-15,3118025,1156011000,5/12/23 20:06,3,157000,관람권,,0,0
e_e002283,콘서트 티켓,2,1,,예스24,,,,,5/12/23 20:05,3,157000,관람권,,0,0
e_e002288,연극 행오버 티켓,0,2,,정극장 행오버,대학로12길 69  3층,,,,,1,42000,,1111016800,0,0
e_e002375,물,1,2,6178284783,CU,서울 노원구 동일로207길 17,,4130202,1135010600,6/7/23 9:41,1,2200,새싹보리,,0,0
e_e002394,케이크,1,1,3681401692,파리바게뜨,경기 용인시 기흥구 동백중앙로 352,경기 용인시 기흥구 동백동 598-9,3204027,4146311500,5/31/23 20:57,1,28800,초코딸기반케이크,,0,0
e_e002399,고기와 야채 과일 간식류,1,4,1262929839,돌댕이석촌골농가맛집,경기 이천시 호법면 송갈로 102-8,경기 이천시 호법면 송갈리 397,3207029,4150033029,6/4/23 12:44,1,65000,볏섬만두전골;고등어구이;제육볶음;공기밥,,0,0
e_e002399,고기와 야채 과일 간식류,2,4,4138106761,(주)상상초월마트,경기 광주시 초월읍 경충대로 923,경기 광주시 초월읍 산이리 432,2012002,4161025323,6/4/23 11:19,1,25280,다이소;롯음/펩시콜라PET(대용량);해태/홈런볼초코(번들);천일염으로만든 맛소금;오리온/비쵸비,,0,0
